school,commentator_or_author,work_or_commentary,relationship_type,base_text,resource,host,url,access,rights,mirror_status,notes
Śrī Vaiṣṇava / Viśiṣṭādvaita,Nāthamuni,Nyāyatattva (fragmentary/lost in full); Yogarahasya (traditional attribution),Treatise/attributed work,,Internet Archive discovery,Internet Archive,https://archive.org/search?query=Nathamuni+Nyaya+Tattva+Yoga+Rahasya,Free access,Item-by-item,link-only-pending-rights,Do not present Yogarahasya attribution as undisputed; much of Nyāyatattva survives only indirectly.
Śrī Vaiṣṇava / Viśiṣṭādvaita,Rāmānujācārya,Śrī Bhāṣya; Gītā Bhāṣya; Vedārthasaṅgraha,Commentaries/treatise,,Gita Supersite Rāmānuja commentary,IIT Kanpur,https://www.gitasupersite.iitk.ac.in/srimad/texts,Free to read,Sanskrit originals public domain; translations may be copyrighted,link-only-pending-rights,Use Archive.org for public-domain historical editions of Śrī Bhāṣya.
Śrī Vaiṣṇava / Viśiṣṭādvaita,Vedānta Deśika,Śatadūṣaṇī; Tattvamuktākalāpa; Rahasyatrayasāra,Polemical/systematic works,,Internet Archive title search,Internet Archive,https://archive.org/search?query=%22Vedanta+Desika%22+%28Satadusani+OR+Tattvamuktakalapa+OR+Rahasyatrayasara%29,Free access,Item-by-item; modern translations often copyrighted,link-only-pending-rights,Sanskrit/Manipravāḷa editions vary; confirm edition language.
Dvaita Vedānta,Madhvācārya (Ānandatīrtha),Brahma Sūtra Bhāṣya; Anuvyākhyāna; Gītā Tātparya,Commentaries/treatises,,Gita Supersite / API corpus,GitHub,https://github.com/vedicscriptures/vedicscriptures.github.io,Free-to-read data; MIT code,Text rights mixed/unclear; verify before reuse,link-only-pending-rights,Repository data includes Madhva's Sanskrit Gītā commentary coverage.
Dvaita Vedānta,Jayatīrtha,Nyāyasudhā; Tattvaprakāśikā,Subcommentaries,,SARIT Nyāyasudhā direct file,GitHub,https://github.com/sarit/SARIT-corpus/blob/master/nyayasudha.xml,Open-license corpus,See TEI header,link-only-pending-rights,Large machine-readable Sanskrit file; verify header for edition details.
Dvaita Vedānta,Vyāsatīrtha,Nyāyāmṛta; Tātparyacandrikā; Tarkatāṇḍava,Polemical/systematic works,,Internet Archive title search,Internet Archive,https://archive.org/search?query=Vyasatirtha+%28Nyayamrita+OR+Tatparya+Chandrika+OR+Tarka+Tandava%29,Free access,Item-by-item,link-only-pending-rights,Public-domain Sanskrit editions exist; modern translations/studies may not.
Śuddhādvaita / Puṣṭimārga,Vallabhācārya,Aṇubhāṣya; Subodhinī; Siddhāntarahasya,Commentary/treatises,,Internet Archive title search,Internet Archive,https://archive.org/search?query=Vallabhacharya+%28Anubhashya+OR+Subodhini+OR+Siddhanta+Rahasya%29,Free access,Item-by-item; modern collected editions may be copyrighted,link-only-pending-rights,Prefer scans of old Sanskrit editions with clear dates.
Gauḍīya Vaiṣṇava / Acintya-bhedābheda,Jīva Gosvāmī,Ṣaṭ Sandarbhas; Sarvasaṃvādinī; Gopālacampū,Systematic theology/commentary/literature,,Gaudiya Grantha Mandira,Jiva Institute,https://grantha.jiva.org/index.php?show=home,Free to read/download,Item-level terms; modern translations usually copyrighted,link-only-pending-rights,Specialist repository explicitly includes Jīva Gosvāmī materials.
Kashmir Śaivism / Trika,Abhinavagupta,Tantrāloka; Tantrasāra; Gītārthasaṅgraha,Systematic synthesis/commentary,,Muktabodha Digital Library,Muktabodha,https://muktabodha-digital-library.org/,Free/open access,Item-level terms; modern translations copyrighted,link-only-pending-rights,Use Gita Supersite for Gītārthasaṅgraha and Muktabodha for Sanskrit tantric corpus.
Śaiva Siddhānta,Meykaṇḍār (Meykandar),Civañāṉapōtam / Śivajñānabodham,Foundational Tamil treatise,,Shaivam.org text/translation route,Shaivam.org,https://shaivam.org/tamil/sansivae.pdf,Free to read,Original text public domain; translation/edition rights should be checked,link-only-pending-rights,Tamil Śaiva Siddhānta source; compare editions and the relation to Sanskrit āgamic materials.
Liṅgāyata / Vīraśaiva,Basava (Basavanna),Vachanas,Devotional/reform poetry,,Vachana Sanchaya,Sanchaya,https://vachana.sanchaya.net/,Free/open access,Original Kannada public domain; modern translation layers may be protected,link-only-pending-rights,Open digital research platform; source code/data routes available via Sanchaya index.
Śrīvidyā / Śākta Tantra,Bhāskararāya Makhin,Varivasyārahasya with Prakāśa; Setubandha; Saubhāgyabhāskara; Guptavatī,Treatises/commentaries,,Open Library author/work catalogue,Open Library / Internet Archive,https://openlibrary.org/authors/OL4536903A/Bhaskararaya,Free catalogue; some scans readable/downloadable,Ancient Sanskrit works public domain; edition/translation rights vary,link-only-pending-rights,Varivasyārahasya editions from 1888/1934 may be public domain in some jurisdictions; verify scan metadata.
Vedic exegesis,Sāyaṇa,Ṛgvedabhāṣya,Vedic bhāṣya,Rigveda Samhita,Internet Archive edition discovery,Internet Archive,https://archive.org/search?query=Sayana+Rigveda+Bhashya,Free access,Item-by-item; verify edition and scan rights,link-only-pending-rights,Record recension and edition; do not attach one Vedic commentary to unrelated recensions.
Vedic exegesis,Sāyaṇa,Sāmavedabhāṣya,Vedic bhāṣya,Samaveda Samhita,Internet Archive edition discovery,Internet Archive,https://archive.org/search?query=Sayana+Samaveda+Bhashya,Free access,Item-by-item; verify edition and scan rights,link-only-pending-rights,Historical Sanskrit editions may be public domain; modern translations may not be.
Vedic exegesis,Sāyaṇa,Taittirīyasaṃhitābhāṣya and related Yajurvedic bhāṣyas,Vedic bhāṣya,Yajurveda Samhita,Internet Archive edition discovery,Internet Archive,https://archive.org/search?query=Sayana+Yajurveda+Bhashya,Free access,Item-by-item; verify edition and scan rights,link-only-pending-rights,Identify Śukla/Kṛṣṇa Yajurveda recension before linking a commentary.
Vedic exegesis,Sāyaṇa,Atharvavedabhāṣya (traditional attribution/editorial history requires review),Vedic bhāṣya,Atharvaveda Samhita,Internet Archive edition discovery,Internet Archive,https://archive.org/search?query=Atharvaveda+Sayana+Bhashya,Free access,Item-by-item; verify edition and attribution,link-only-pending-rights,Do not present the commentary's authorship history as uncontested.
Advaita Vedānta,Ādi Śaṅkara,Principal Upaniṣad Bhāṣyas,Upaniṣad commentaries,Principal Upanishads,Gita Supersite Upaniṣad portal,IIT Kanpur,https://www.gitasupersite.iitk.ac.in/,Free to read,Sanskrit base/commentaries and modern translations have different rights,link-only-pending-rights,Map each bhāṣya to its exact Upaniṣad and edition rather than treating all 108 as Śaṅkara-commented.
Viśiṣṭādvaita,Raṅgarāmānuja Muni,Upaniṣad Bhāṣyas,Upaniṣad commentaries,Principal Upanishads,Internet Archive discovery,Internet Archive,https://archive.org/search?query=Rangaramanaja+Upanishad+Bhashya,Free access,"Item-by-item; verify spelling, edition, and scan rights",link-only-pending-rights,Important Śrī Vaiṣṇava route; title and transliteration variants require authority control.
Dvaita Vedānta,Madhvācārya,Upaniṣad Bhāṣyas,Upaniṣad commentaries,Principal Upanishads,Internet Archive discovery,Internet Archive,https://archive.org/search?query=Madhva+Upanishad+Bhashya,Free access,Item-by-item; verify edition and translation rights,link-only-pending-rights,Record each Upaniṣad separately and distinguish Madhva's bhāṣya from later ṭīkās.
Bhāgavata tradition,Śrīdhara Svāmin,Bhāvārthadīpikā,Purāṇa commentary,Bhagavata Purana,Internet Archive discovery,Internet Archive,https://archive.org/search?query=Sridhara+Svamin+Bhavarthadipika,Free access,Item-by-item; modern editions/translations may be protected,link-only-pending-rights,Influential cross-tradition commentary on the Bhāgavata Purāṇa.
Mahābhārata exegesis,Nīlakaṇṭha Caturdhara,Bhāratabhāvadīpa / Nīlakaṇṭhī,Epic commentary,Mahabharata,Internet Archive discovery,Internet Archive,https://archive.org/search?query=Nilakantha+Mahabharata+commentary,Free access,Item-by-item; verify historical edition,link-only-pending-rights,Map commentary coverage by parvan and identify the printed edition.
Rāmāyaṇa exegesis,Govindarāja,Bhūṣaṇa,Epic commentary,Ramayana,Internet Archive discovery,Internet Archive,https://archive.org/search?query=Govindaraja+Ramayana+Bhushana,Free access,Item-by-item; verify edition,link-only-pending-rights,One major Rāmāyaṇa commentary tradition; Uttarakāṇḍa treatment varies by edition.
Rāmāyaṇa exegesis,Maheśvaratīrtha,Tattvadīpa,Epic commentary,Ramayana,Internet Archive discovery,Internet Archive,https://archive.org/search?query=Mahesvaratirtha+Tattvadipa+Ramayana,Free access,Item-by-item; verify edition,link-only-pending-rights,Record the exact edition and kāṇḍa coverage.
Dharmaśāstra,Medhātithi,Manubhāṣya,Smṛti commentary,Manu Smriti,SARIT and Internet Archive discovery,GitHub / Internet Archive,https://github.com/sarit/SARIT-corpus/search?q=Medhatithi&type=code,Discovery,File- or item-specific,link-only-pending-rights,Separate the Manu root text from Medhātithi's commentary and later editorial apparatus.
Dharmaśāstra,Kullūka Bhaṭṭa,Manvarthamuktāvalī,Smṛti commentary,Manu Smriti,Internet Archive discovery,Internet Archive,https://archive.org/search?query=Kulluka+Manvarthamuktavali,Free access,Item-by-item; verify edition,link-only-pending-rights,Later influential commentary; compare with Medhātithi rather than silently harmonizing them.
Dharmaśāstra,Vijñāneśvara,Mitākṣarā,Smṛti commentary,Yajnavalkya Smriti,SARIT direct route,GitHub,https://github.com/sarit/SARIT-corpus/blob/master/vijnanesvara-mitaksara.xml,Open-license candidate,Inspect TEI availability statement before mirroring,link-only-pending-rights,Important jurisprudential commentary; edition-level license still needs manifest review.
