id,category,subgroup,title,aliases,parent_work,attribution,catalog_status,mirror_status,commentary_status,candidate_source,review_note
sruti-kaushitaki-aranyaka,Śruti,Āraṇyaka / requested structural layer,Kaushitaki Aranyaka,,,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Kaushitaki+Aranyaka&type=code,"Verify title normalization, recension, edition, and item-level rights."
sruti-brihadaranyaka-aranyaka,Śruti,Āraṇyaka / requested structural layer,Brihadaranyaka Aranyaka,,,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Brihadaranyaka+Aranyaka&type=code,Requested label retained; review classification because Bṛhadāraṇyaka is normally catalogued as an Upaniṣad associated with the Śatapatha Brāhmaṇa.
sruti-taittiriya-aranyaka,Śruti,Āraṇyaka / requested structural layer,Taittiriya Aranyaka,,,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Taittiriya+Aranyaka&type=code,"Verify title normalization, recension, edition, and item-level rights."
sruti-maitrayani-aranyaka,Śruti,Āraṇyaka / requested structural layer,Maitrayani Aranyaka,,,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Maitrayani+Aranyaka&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-aitareya,Upaniṣad,Requested 108-title list,Aitareya,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Aitareya&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-kaushitaki,Upaniṣad,Requested 108-title list,Kaushitaki,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Kaushitaki&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-mudgala,Upaniṣad,Requested 108-title list,Mudgala,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Mudgala&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-atma-bodha,Upaniṣad,Requested 108-title list,Atma-Bodha,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Atma-Bodha&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-nirvana,Upaniṣad,Requested 108-title list,Nirvana,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Nirvana&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-akshamalika,Upaniṣad,Requested 108-title list,Akshamalika,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Akshamalika&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-tripura,Upaniṣad,Requested 108-title list,Tripura,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Tripura&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-saubhagya-lakshmi,Upaniṣad,Requested 108-title list,Saubhagya-Lakshmi,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Saubhagya-Lakshmi&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-bahvricha,Upaniṣad,Requested 108-title list,Bahvricha,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Bahvricha&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-nadabindu,Upaniṣad,Requested 108-title list,Nadabindu,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Nadabindu&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-isha,Upaniṣad,Requested 108-title list,Isha,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Isha&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-brihadaranyaka,Upaniṣad,Requested 108-title list,Brihadaranyaka,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Brihadaranyaka&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-jabala,Upaniṣad,Requested 108-title list,Jabala,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Jabala&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-hamsa,Upaniṣad,Requested 108-title list,Hamsa,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Hamsa&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-paramahamsa,Upaniṣad,Requested 108-title list,Paramahamsa,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Paramahamsa&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-subala,Upaniṣad,Requested 108-title list,Subala,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Subala&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-mantrika,Upaniṣad,Requested 108-title list,Mantrika,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Mantrika&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-niralamba,Upaniṣad,Requested 108-title list,Niralamba,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Niralamba&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-trishikhi-brahmana,Upaniṣad,Requested 108-title list,Trishikhi-Brahmana,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Trishikhi-Brahmana&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-mandala-brahmana,Upaniṣad,Requested 108-title list,Mandala-Brahmana,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Mandala-Brahmana&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-advayataraka,Upaniṣad,Requested 108-title list,Advayataraka,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Advayataraka&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-paingala,Upaniṣad,Requested 108-title list,Paingala,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Paingala&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-bhikshu,Upaniṣad,Requested 108-title list,Bhikshu,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Bhikshu&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-turiyatita,Upaniṣad,Requested 108-title list,Turiyatita,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Turiyatita&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-adhyatma,Upaniṣad,Requested 108-title list,Adhyatma,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Adhyatma&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-tarasara,Upaniṣad,Requested 108-title list,Tarasara,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Tarasara&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-yajnavalkya,Upaniṣad,Requested 108-title list,Yajnavalkya,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Yajnavalkya&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-satyayani,Upaniṣad,Requested 108-title list,Satyayani,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Satyayani&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-muktika,Upaniṣad,Requested 108-title list,Muktika,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Muktika&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-katha,Upaniṣad,Requested 108-title list,Katha,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Katha&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-taittiriya,Upaniṣad,Requested 108-title list,Taittiriya,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Taittiriya&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-shvetashvatara,Upaniṣad,Requested 108-title list,Shvetashvatara,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Shvetashvatara&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-maitrayani,Upaniṣad,Requested 108-title list,Maitrayani,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Maitrayani&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-garbha,Upaniṣad,Requested 108-title list,Garbha,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Garbha&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-brahma,Upaniṣad,Requested 108-title list,Brahma,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Brahma&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-kaivalya,Upaniṣad,Requested 108-title list,Kaivalya,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Kaivalya&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-kalagni-rudra,Upaniṣad,Requested 108-title list,Kalagni-Rudra,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Kalagni-Rudra&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-mahanarayana,Upaniṣad,Requested 108-title list,Mahanarayana,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Mahanarayana&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-amritabindu,Upaniṣad,Requested 108-title list,Amritabindu,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Amritabindu&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-amritanada,Upaniṣad,Requested 108-title list,Amritanada,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Amritanada&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-kshurika,Upaniṣad,Requested 108-title list,Kshurika,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Kshurika&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-tejobindu,Upaniṣad,Requested 108-title list,Tejobindu,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Tejobindu&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-dhyanabindu,Upaniṣad,Requested 108-title list,Dhyanabindu,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Dhyanabindu&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-brahmavidya,Upaniṣad,Requested 108-title list,Brahmavidya,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Brahmavidya&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-yogatattva,Upaniṣad,Requested 108-title list,Yogatattva,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Yogatattva&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-dakshinamurti,Upaniṣad,Requested 108-title list,Dakshinamurti,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Dakshinamurti&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-skanda,Upaniṣad,Requested 108-title list,Skanda,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Skanda&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-shariraka,Upaniṣad,Requested 108-title list,Shariraka,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Shariraka&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-yoga-shikha,Upaniṣad,Requested 108-title list,Yoga-Shikha,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Yoga-Shikha&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-ekakshara,Upaniṣad,Requested 108-title list,Ekakshara,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Ekakshara&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-akshi,Upaniṣad,Requested 108-title list,Akshi,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Akshi&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-avadhuta,Upaniṣad,Requested 108-title list,Avadhuta,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Avadhuta&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-katharudra,Upaniṣad,Requested 108-title list,Katharudra,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Katharudra&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-rudrahridaya,Upaniṣad,Requested 108-title list,Rudrahridaya,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Rudrahridaya&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-panchabrahma,Upaniṣad,Requested 108-title list,Panchabrahma,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Panchabrahma&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-pranagnihotra,Upaniṣad,Requested 108-title list,Pranagnihotra,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Pranagnihotra&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-sarasvati-rahasya,Upaniṣad,Requested 108-title list,Sarasvati-Rahasya,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Sarasvati-Rahasya&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-sukarahasya,Upaniṣad,Requested 108-title list,Sukarahasya,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Sukarahasya&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-varaha,Upaniṣad,Requested 108-title list,Varaha,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Varaha&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-yogakundali,Upaniṣad,Requested 108-title list,Yogakundali,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Yogakundali&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-kalisantarana,Upaniṣad,Requested 108-title list,Kalisantarana,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Kalisantarana&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-chandogya,Upaniṣad,Requested 108-title list,Chandogya,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Chandogya&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-kena,Upaniṣad,Requested 108-title list,Kena,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Kena&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-aruni,Upaniṣad,Requested 108-title list,Aruni,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Aruni&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-maitreya,Upaniṣad,Requested 108-title list,Maitreya,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Maitreya&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-vajrasuchi,Upaniṣad,Requested 108-title list,Vajrasuchi,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Vajrasuchi&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-vasudeva,Upaniṣad,Requested 108-title list,Vasudeva,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Vasudeva&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-avyakta,Upaniṣad,Requested 108-title list,Avyakta,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Avyakta&type=code,"Verify title normalization, recension, edition, and item-level rights."
upanisad-kundika,Upaniṣad,Requested 108-title list,Kundika,,Muktika-style 108-title list supplied for this project,Traditional/anonymous unless an edition establishes otherwise,requested-scope,link-only-pending-rights,needs-commentary-mapping,https://github.com/INDOLOGY/GRETIL-mirror/search?q=Kundika&type=code,"Verify title normalization, recension, edition, and item-level rights."
