id,title,layer,source_id,source_url,license_id,license_url,attribution,destination,status,verified_on,verification_note,sha256
sarit-prasastapada,Padarthadharmasangraha,root-text,sarit,https://raw.githubusercontent.com/sarit/SARIT-corpus/master/prasastapada-padarthadharmasangraha.xml,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Muneo Tokunaga, Yasutaka Muroya, Dominik Wujastyk, and SARIT",texts/cc-by-sa-3.0/sarit/prasastapada-padarthadharmasangraha.xml,approved,2026-08-09,TEI header explicitly licenses the file CC BY-SA 3.0.,bc93f626f56965872dcb33f53294329505b08c10a344e16a5cddba4ddcaebf31
sarit-susrutasamhita,Susrutasamhita with classical commentaries,root-text-and-commentary,sarit,https://raw.githubusercontent.com/sarit/SARIT-corpus/master/susrutasamhita.xml,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,"Tsutomu Yamashita, Yasutaka Muroya, and contributors recorded in the TEI header; distributed by SARIT",texts/cc-by-sa-3.0/sarit/susrutasamhita.xml,approved,2026-08-09,TEI header explicitly licenses the file CC BY-SA 3.0.,d6e7618db94ae665f465e63d9c08a1cc1d5358a9f07f58cc5b079e53388c1002
sarit-vacaspati-tattvavaisaradi,Yogasutra with Tattvavaisaradi,root-text-and-commentary,sarit,https://raw.githubusercontent.com/sarit/SARIT-corpus/master/vacaspati-tattvavaisaradi.xml,CC-BY-SA-3.0,https://creativecommons.org/licenses/by-sa/3.0/,Young Buddhist Association of the University of Tokyo (Bussei); distributed by SARIT,texts/cc-by-sa-3.0/sarit/vacaspati-tattvavaisaradi.xml,approved,2026-08-09,TEI header explicitly licenses the file CC BY-SA 3.0.,010527d06955f0163729ec2ebfdd52251f8ba59aaa50e8b5e03fb76fc3cb1b3c
sarit-kumarila-tantravarttika,Tantravarttika of Kumarila Bhatta,commentary,sarit,https://raw.githubusercontent.com/sarit/SARIT-corpus/master/kumarila-tantravarttika.xml,CC-BY-SA-4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Sheldon Pollock, Andrew Ollett, data-entry and SARIT contributors recorded in the TEI header",texts/cc-by-sa-4.0/sarit/kumarila-tantravarttika.xml,approved,2026-08-09,TEI header explicitly licenses the file CC BY-SA 4.0.,f01645a81b66427244323b5c7e6727b259a3c25b2df575cee041a74342c45875
sarit-skandapurana-1-69,Skandapurana critical edition chapters 1-69,partial-critical-edition,sarit,https://raw.githubusercontent.com/sarit/SARIT-corpus/master/skandapurana.xml,CC-BY-SA-4.0,https://creativecommons.org/licenses/by-sa/4.0/,Editors and contributors recorded in the TEI header; distributed by SARIT,texts/cc-by-sa-4.0/sarit/skandapurana-adhyayas-1-69.xml,approved,2026-08-09,TEI header explicitly licenses the file CC BY-SA 4.0; this is not the whole received Skandapurana.,28ad61d4867a7515d55c2628bab744ddc78e53afc452ba71ed9abda1fdaad821
sarit-vijnanesvara-mitaksara,Mitaksara commentary on Yajnavalkya Dharmasastra,root-text-and-commentary,sarit,https://raw.githubusercontent.com/sarit/SARIT-corpus/master/vijnanesvara-mitaksara.xml,CC-BY-SA-4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Patrick Olivelle, Donald R. Davis Jr., Amy Hyne-Sutherland, Nikola Rajic, GRETIL, and SARIT",texts/cc-by-sa-4.0/sarit/vijnanesvara-mitaksara.xml,approved,2026-08-09,TEI header explicitly licenses the file CC BY-SA 4.0.,784509084b553d2665be58ac97c80bb4e5a9826efbd73483b247bf7ed4fa346f
pg-2388-bhagavad-gita,The Song Celestial or Bhagavad-Gita,english-translation,project-gutenberg,https://www.gutenberg.org/cache/epub/2388/pg2388.txt,Public-Domain-US,https://www.gutenberg.org/policy/license.html,Edwin Arnold (translator); Project Gutenberg ebook 2388,texts/public-domain-us/project-gutenberg/pg2388-bhagavad-gita.txt,approved,2026-08-09,Project Gutenberg item states public domain in the USA and includes the Project Gutenberg License.,85b22401a9d256179f9a2e407215eb516da9b8213f23c32e03d66709d839a9e0
pg-2526-yoga-sutras,The Yoga Sutras of Patanjali,english-translation-and-commentary,project-gutenberg,https://www.gutenberg.org/cache/epub/2526/pg2526.txt,Public-Domain-US,https://www.gutenberg.org/policy/license.html,Charles Johnston (editor/translator); Project Gutenberg ebook 2526,texts/public-domain-us/project-gutenberg/pg2526-yoga-sutras.txt,approved,2026-08-09,Project Gutenberg item states public domain in the USA and includes the Project Gutenberg License.,8993f37c71c83095c46f3355aa4c9350838b1043edf443f9653f48cd157e88f5
pg-3283-upanishads,The Upanishads: Isa Katha and Kena,english-translation-and-commentary,project-gutenberg,https://www.gutenberg.org/cache/epub/3283/pg3283.txt,Public-Domain-US,https://www.gutenberg.org/policy/license.html,Swami Paramananda (translator/commentator); Project Gutenberg ebook 3283,texts/public-domain-us/project-gutenberg/pg3283-upanishads-paramananda.txt,approved,2026-08-09,Project Gutenberg item states public domain in the USA and includes the Project Gutenberg License.,2ffc941173d8fd10c16eea7bfb4ab2ace13cf9e734228c71f367402f9236aa46
pg-7297-ramanuja-vedanta-sutras,The Vedanta-Sutras with Ramanuja's commentary,english-translation-and-commentary,project-gutenberg,https://www.gutenberg.org/cache/epub/7297/pg7297.txt,Public-Domain-US,https://www.gutenberg.org/policy/license.html,"George Thibaut (translator), Ramanuja (commentator); Project Gutenberg ebook 7297",texts/public-domain-us/project-gutenberg/pg7297-vedanta-sutras-ramanuja.txt,approved,2026-08-09,Project Gutenberg item states public domain in the USA and includes the Project Gutenberg License.,dde277b01b1ce3b05a88dd168e2c161ae33475be9edd822877b7b301d84b0198
pg-15474-mahabharata-vol-1,The Mahabharata English prose volume 1 books 1-3,english-translation,project-gutenberg,https://www.gutenberg.org/cache/epub/15474/pg15474.txt,Public-Domain-US,https://www.gutenberg.org/policy/license.html,Kisari Mohan Ganguli (translator); Project Gutenberg ebook 15474,texts/public-domain-us/project-gutenberg/pg15474-mahabharata-vol-1.txt,approved,2026-08-09,Project Gutenberg item states public domain in the USA and includes the Project Gutenberg License.,6936769ca526bc5486335940958f43d036414d2fd29dcc17259610fa95b66b75
pg-15475-mahabharata-vol-2,The Mahabharata English prose volume 2 books 4-7,english-translation,project-gutenberg,https://www.gutenberg.org/cache/epub/15475/pg15475.txt,Public-Domain-US,https://www.gutenberg.org/policy/license.html,Kisari Mohan Ganguli (translator); Project Gutenberg ebook 15475,texts/public-domain-us/project-gutenberg/pg15475-mahabharata-vol-2.txt,approved,2026-08-09,Project Gutenberg item states public domain in the USA and includes the Project Gutenberg License.,135076505fc86930e9817858def7f1448d73d5dbf6000c841eafcc2e73f59eb3
pg-15476-mahabharata-vol-3,The Mahabharata English prose volume 3 books 8-12,english-translation,project-gutenberg,https://www.gutenberg.org/cache/epub/15476/pg15476.txt,Public-Domain-US,https://www.gutenberg.org/policy/license.html,Kisari Mohan Ganguli (translator); Project Gutenberg ebook 15476,texts/public-domain-us/project-gutenberg/pg15476-mahabharata-vol-3.txt,approved,2026-08-09,Project Gutenberg item states public domain in the USA and includes the Project Gutenberg License.,2d4d53b9c4892ebdc5a4bfa59458d0e0acf9742d3ce0f3b7b1b428ab838f402d
pg-15477-mahabharata-vol-4,The Mahabharata English prose volume 4 books 13-18,english-translation,project-gutenberg,https://www.gutenberg.org/cache/epub/15477/pg15477.txt,Public-Domain-US,https://www.gutenberg.org/policy/license.html,Kisari Mohan Ganguli (translator); Project Gutenberg ebook 15477,texts/public-domain-us/project-gutenberg/pg15477-mahabharata-vol-4.txt,approved,2026-08-09,Project Gutenberg item states public domain in the USA and includes the Project Gutenberg License.,60de2a2f82f22247fdb72096c7ebbb01b63ad42770506c10f6d7c7a82868e437
pg-16295-shankara-vedanta-sutras,The Vedanta-Sutras with Shankaracharya's commentary part 1,english-translation-and-commentary,project-gutenberg,https://www.gutenberg.org/cache/epub/16295/pg16295.txt,Public-Domain-US,https://www.gutenberg.org/policy/license.html,"George Thibaut (translator), Shankaracharya (commentator); Project Gutenberg ebook 16295",texts/public-domain-us/project-gutenberg/pg16295-vedanta-sutras-shankara.txt,approved,2026-08-09,Project Gutenberg item states public domain in the USA and includes the Project Gutenberg License.,92376bcad34794e1fbaa61b89f3c6681f61c44e4e04973deddd63bbaf78045a1
pg-61937-harivamsha,A Prose English Translation of Harivamsha,english-translation,project-gutenberg,https://www.gutenberg.org/cache/epub/61937/pg61937.txt,Public-Domain-US,https://www.gutenberg.org/policy/license.html,Manmatha Nath Dutt (translator); Project Gutenberg ebook 61937,texts/public-domain-us/project-gutenberg/pg61937-harivamsha.txt,approved,2026-08-09,Project Gutenberg item states public domain in the USA and includes the Project Gutenberg License.,839d1c8e329c3aa9e64d2864f88acf6cd2838d61b1ead5c4aa5ecad1a891f4d6
pg-66208-vishnupurana,A Prose English Translation of Vishnupuranam,english-translation,project-gutenberg,https://www.gutenberg.org/cache/epub/66208/pg66208.txt,Public-Domain-US,https://www.gutenberg.org/policy/license.html,Manmatha Nath Dutt and H. H. Wilson (translators); Project Gutenberg ebook 66208,texts/public-domain-us/project-gutenberg/pg66208-vishnupuranam.txt,approved,2026-08-09,Project Gutenberg item states public domain in the USA and includes the Project Gutenberg License.,924d8c109ddf87a26fab4025556be7b74dbf0c21534e253bfb4561f711956bb5
ia-upanishads-sbe-1,The Upanishads Part I Sacred Books of the East volume 1,english-translation,internet-archive,https://archive.org/download/upanishads01ml/upanishads01ml_djvu.txt,Public-Domain-US,https://www.copyright.gov/help/faq/faq-duration.html,"F. Max Muller (translator/editor), Oxford University Press 1879; OCR derivative hosted by Internet Archive",texts/public-domain-us/internet-archive/upanishads-sbe-vol-1-ocr.txt,approved,2026-08-09,The underlying 1879 edition is public domain in the United States; OCR quality should be checked against the linked scan.,e1e8b802db19f2b2f7f60c03be79d2aa16f4b36bb6733c8d54084113b56eb884
ia-upanishads-sbe-15,The Upanishads Part II Sacred Books of the East volume 15,english-translation,internet-archive,https://archive.org/download/upanishads02ml/upanishads02ml_djvu.txt,Public-Domain-US,https://www.copyright.gov/help/faq/faq-duration.html,"F. Max Muller (translator/editor), Oxford University Press 1884; OCR derivative hosted by Internet Archive",texts/public-domain-us/internet-archive/upanishads-sbe-vol-15-ocr.txt,approved,2026-08-09,The underlying 1884 edition is public domain in the United States; OCR quality should be checked against the linked scan.,1f2223b0292eb87368cd5373b684b6335373318097847aa18716cfb119c4d6e3
